id,amount,date,mobile,email
1,1044.98,,061559512,
2,,2001-05-08,0833127471,reedtim@example.org
3,,,0631661268,michaelmelendez@example.net
4,1603.55,2011-06-11,071719015,
5,R1173,,0821170768,richard33@example.com
6,,08-25-2024,080552561,
7,R1071,26-Jan-2026,080469278,
8,86,2023-03-06,0837509167,bad@example..com
9,212.68,1978-06-01,083136385,bad@example..com
10,R789,,082516621,jlewis@example.org
11,R3731,2019-04-25,082002157,olawrence@example.net
12,3346.74,10/03/2006,082404654,nancy59@example.org
13,2484.49,,0634985948,ramirezmarissa@example.com
14,1172,04-18-2022,0630502561,bad@example..com
15,692,1971-09-18,0617343402,bad@example..com
16,4604,24-Jan-2026,0828766412,bad@example..com
17,2744,,0834686712,bad@example..com
18,4392.91,12-28-2021,0616051921,bad@example..com
19,3360,03/01/2009,082595907,bad@example..com
20,2067,20/03/2003,0718547209,carl53@example.net
